round,method,citation_conflict,reasoning_conflict,verdict_conflict,rule_alignment_distance,total_conflict
97,FedAvg,0.3659399463950265,0.21448514025559828,0.249099775659627,0.3342961115703366,0.2849646949044102
98,FedAvg,0.34722314444290103,0.21645763075143187,0.24645446544912733,0.3373599275934178,0.28082867721712024
99,FedAvg,0.35918256537413973,0.2146107812748735,0.23578545313991953,0.3384776775391072,0.2808207745187983
100,FedAvg,0.35762446847518825,0.21999977959986194,0.24361021341507477,0.33647223722947495,0.2836030517984194
1,FedLoRA,0.6173743892484541,0.4375064730693208,0.39838010394243706,0.5167223320235587,0.48853503162323075
2,FedLoRA,0.6135835426198826,0.43385155635294415,0.3960347830205713,0.5152958508513157,0.4856192184862598
3,FedLoRA,0.607850890268162,0.4400194006237224,0.39886916385713006,0.514460047599632,0.48657784323836606
4,FedLoRA,0.6111642247376199,0.4312585638365129,0.3912010531044842,0.5146802647708979,0.48290494156565944
5,FedLoRA,0.5913805183330516,0.4182925101751437,0.38712015159890345,0.5088539067984892,0.47188370189522977
6,FedLoRA,0.6062231244377254,0.4344334566777412,0.3838371582283773,0.5019700843726133,0.4782391245443707
7,FedLoRA,0.5911201887884461,0.41410640386945635,0.38428135714755984,0.5071162937161406,0.4695055663880665
8,FedLoRA,0.5846112013201633,0.4167071176410375,0.3754790868182321,0.4972671445522804,0.4644881362373662
9,FedLoRA,0.5866793373673378,0.4124239251744776,0.37484226210139,0.49428182975683926,0.46296394337089314
10,FedLoRA,0.5862150576601199,0.4157416041198103,0.37451955442497836,0.4867185521395051,0.4622498446851187
11,FedLoRA,0.5774975739260645,0.40063581417161337,0.3694001862590958,0.4865503591270168,0.45422525612317743
12,FedLoRA,0.5772268167709145,0.4055611171401422,0.3691083782830391,0.49062791443112214,0.4563777167917555
13,FedLoRA,0.5672298699799359,0.39125000411299704,0.3641408618751239,0.4761941910277329,0.4454565224032106
14,FedLoRA,0.5693595585109993,0.3986683381496524,0.37473097515285736,0.48086460292498373,0.45179605544585666
15,FedLoRA,0.5650548954462116,0.38363680023326835,0.36889518178523073,0.4817714993325704,0.4449328592443552
16,FedLoRA,0.5526330295744294,0.3823649798817438,0.3620603831105705,0.4732839378316349,0.43803963470210006
17,FedLoRA,0.5575544280851631,0.3922814142555052,0.35712512872573593,0.47337905108521466,0.44103012369641925
18,FedLoRA,0.5456397776893717,0.37921815472002407,0.3659513001487326,0.46363056571553035,0.4343893290186394
19,FedLoRA,0.5409473830186176,0.3744284057154986,0.35423796683412484,0.4728239924189388,0.4306896576616229
20,FedLoRA,0.5307138728421615,0.3837179763836306,0.349835970336408,0.4688593632957064,0.42902472636887284
21,FedLoRA,0.5303683506165199,0.36897144839164203,0.34945390737017135,0.46163637052545514,0.4229742731192564
22,FedLoRA,0.5326660533591855,0.3584854122869529,0.3471569622698077,0.44881131379534883,0.41726364035240393
23,FedLoRA,0.5160650020542766,0.3644097394406651,0.3503885114685458,0.4495076150632075,0.41583782322554663
24,FedLoRA,0.5238193486221875,0.34957194203415765,0.34097229660135664,0.45679436403451,0.41242836672303534
25,FedLoRA,0.518034013821119,0.36013182266401744,0.3493142778857081,0.457672398563845,0.41641109943868104
26,FedLoRA,0.5136679947200338,0.3573370504751684,0.3321782355330553,0.4478081576538958,0.40822430423660194
27,FedLoRA,0.4948631817483123,0.34344158436691447,0.3378492547758112,0.4498021273890302,0.40117100991891125
28,FedLoRA,0.5036209966382832,0.33992851495042203,0.32718032649904455,0.43778916477798957,0.39723671822505646
29,FedLoRA,0.5043067578030882,0.3416095108972133,0.3391050393351785,0.4371652911949154,0.40076886079271373
30,FedLoRA,0.49205425365307626,0.33752749523088427,0.3262162232408976,0.43542385947659495,0.39291063968807777
31,FedLoRA,0.4934262727390153,0.32850558979024,0.3254468874827467,0.43486096358242876,0.3902421597089983
32,FedLoRA,0.4749057308338551,0.3347460238271658,0.32824689667319784,0.42245008754079005,0.385701981533071
33,FedLoRA,0.489529184294522,0.3160882166233127,0.32780921767212157,0.432167251522311,0.38559451578311693
34,FedLoRA,0.47788943523445626,0.3227800495359239,0.31389868643957924,0.4314673901505407,0.3810745233093942
35,FedLoRA,0.48349156649839425,0.3200266307226143,0.3156714182640304,0.4165225116125216,0.37910323772989474
36,FedLoRA,0.4636419265189188,0.31791866668768454,0.3083901591615601,0.4129216445744279,0.3709679503413107
37,FedLoRA,0.47532293802598496,0.31854408371753534,0.3140321182557934,0.4189037598808926,0.3766827411618837
38,FedLoRA,0.46625350471764776,0.30650917133084976,0.31083763791167296,0.41135231392396987,0.3684959998413791
39,FedLoRA,0.4690613377808806,0.314618640729053,0.3076166675876137,0.40026277522356307,0.36860764860555206
